joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.117012,0.623169,1.70215,1.44034,-0.026114,0.547803,-0.034644
0.119233,0.623098,1.70042,1.4398,-0.0264392,0.547044,-0.0344057
0.121447,0.623032,1.6987,1.43926,-0.0267651,0.546292,-0.0341667
0.123655,0.622969,1.69699,1.43871,-0.0270917,0.545545,-0.0339273
0.125857,0.622909,1.69528,1.43817,-0.0274187,0.544802,-0.0336876
0.128057,0.62285,1.69358,1.43762,-0.0277459,0.544061,-0.0334478
0.12809,0.622849,1.69355,1.43761,-0.0277509,0.54405,-0.0334442
0.12809,0.622849,1.69355,1.43761,-0.0277509,0.54405,-0.0334442
0.130289,0.62279,1.69185,1.43707,-0.0280781,0.54331,-0.0332043
0.132484,0.622733,1.69014,1.43652,-0.0284058,0.542573,-0.032964
0.134674,0.622679,1.68845,1.43597,-0.0287343,0.541841,-0.0327233
0.136857,0.622629,1.68675,1.43542,-0.0290636,0.541115,-0.0324818
0.139032,0.622584,1.68507,1.43487,-0.0293937,0.540396,-0.0322398
0.141198,0.622542,1.68339,1.43432,-0.0297245,0.539684,-0.0319972
0.143357,0.622504,1.68172,1.43376,-0.030056,0.538978,-0.0317541
0.14551,0.622469,1.68005,1.4332,-0.0303879,0.538277,-0.0315108
0.147658,0.622436,1.67839,1.43265,-0.0307201,0.537579,-0.0312672
0.149318,0.622411,1.6771,1.43222,-0.0309771,0.537041,-0.0310788
0.149318,0.622411,1.6771,1.43222,-0.0309771,0.537041,-0.0310788
0.151463,0.622379,1.67544,1.43166,-0.0313094,0.536345,-0.0308352
0.153604,0.622348,1.67378,1.4311,-0.031642,0.535652,-0.0305913
0.15574,0.622321,1.67213,1.43055,-0.0319753,0.534964,-0.0303469
0.157868,0.622298,1.67048,1.42999,-0.0323092,0.534283,-0.0301021
0.159988,0.622278,1.66884,1.42943,-0.0326438,0.533607,-0.0298567
0.1621,0.622262,1.66721,1.42886,-0.0329789,0.532938,-0.029611
0.164204,0.622249,1.66558,1.4283,-0.0333144,0.532275,-0.0293651
0.166302,0.622239,1.66396,1.42774,-0.0336502,0.531616,-0.0291189
0.168395,0.622231,1.66234,1.42717,-0.033986,0.53096,-0.0288727
0.169507,0.622226,1.66148,1.42687,-0.0341646,0.530612,-0.0287418
0.169507,0.622226,1.66148,1.42687,-0.0341646,0.530612,-0.0287418
0.171598,0.622219,1.65986,1.42631,-0.0345005,0.529957,-0.0284955
0.173685,0.622212,1.65825,1.42574,-0.0348368,0.529306,-0.028249
0.175767,0.622209,1.65664,1.42517,-0.0351735,0.528659,-0.0280022
0.177841,0.622209,1.65504,1.42461,-0.0355107,0.528018,-0.0277551
0.179906,0.622213,1.65344,1.42404,-0.0358483,0.527383,-0.0275076
0.181963,0.62222,1.65185,1.42347,-0.0361863,0.526753,-0.0272599
0.184012,0.62223,1.65027,1.4229,-0.0365245,0.52613,-0.027012
0.186055,0.622242,1.64869,1.42233,-0.0368628,0.52551,-0.0267641
0.188095,0.622256,1.64712,1.42176,-0.0372011,0.524892,-0.0265163
0.188686,0.62226,1.64666,1.42159,-0.0372992,0.524713,-0.0264444
0.188686,0.62226,1.64666,1.42159,-0.0372992,0.524713,-0.0264444
0.190723,0.622274,1.64509,1.42102,-0.0376375,0.524097,-0.0261965
0.192757,0.622289,1.64352,1.42045,-0.0379761,0.523483,-0.0259484
0.194785,0.622307,1.64195,1.41988,-0.038315,0.522874,-0.0257001
0.196804,0.622329,1.6404,1.41931,-0.0386541,0.52227,-0.0254517
0.198815,0.622353,1.63884,1.41873,-0.0389936,0.521672,-0.025203
0.200818,0.622381,1.6373,1.41816,-0.0393332,0.52108,-0.0249543
0.202813,0.622411,1.63576,1.41759,-0.0396728,0.520493,-0.0247056
0.204802,0.622443,1.63423,1.41701,-0.0400124,0.519909,-0.0244569
0.206787,0.622476,1.6327,1.41644,-0.040352,0.519327,-0.0242083
0.206887,0.622478,1.63262,1.41641,-0.040369,0.519298,-0.0241958
0.206887,0.622478,1.63262,1.41641,-0.040369,0.519298,-0.0241958
0.208871,0.622511,1.63109,1.41583,-0.0407086,0.518716,-0.0239472
